ID,A_name_in_paper,A_category,relationship,B_name_in_paper,B_ensembl,B_category,mechanism,key_molecular ,key_molecular_category,detail mechanism,method,species,detial,pmid,article_title
LncReg_248,H19,lncRNA,up,Hmga2,ENSG00000149948.12,protein coding,translational regulation,let-7,miRNA,H19 Affects Expression of Endogenous Let-7 Targets,qPCR;western blot,Homo sapiens,H19 Affects Expression of Endogenous Let-7 Targets,24055342,The imprinted H19 lncRNA antagonizes let-7 microRNAs
LncReg_25,pint,lncRNA,down,Rab20,ENSG00000139832.4,protein coding,transcriptional regulation,,,,microarray;ChIP-promoter-qPCR,Mus musculus,PINTis required for Polycomb repressive complex 2 (PRC5) targeting of specific genes for repression.,24070194,Pint lincRNA connects the p53 pathway with epigenetic silencing by the Polycomb repressive complex 2
LncReg_250,ANRASSF1,lncRNA,down,RASSF1A,ENSG00000068028.16,protein coding,transcriptional regulation,SUZ12;PRC2,,"ANRASSF1 overexpression causes a marked increase in both PRC2 occupancy and histone H3K27me3 repressive marks, specifically at the RASSF1Apromoter region.",qPCR;western blot;ChIP;RIP,Homo sapiens,"ANRASSF1ectopic overexpression reducesRASSF1Aabundance and increases the proliferation of HeLa cells, whereasANRASSF1silencing causes the opposite effects.",23990798,"The intronic long noncoding RNA ANRASSF1 recruits PRC2 to the RASSF1A promoter, reducing the expression of RASSF1A and increasing cell proliferation"
LncReg_252,GAS5,lncRNA,up,PDCD4,ENSG00000150593.14,protein coding,,,,,western blot,Homo sapiens,We first determined whether GAS5 has any effect on miR-21 targets and found that GAS5–siRNA suppressed both PTEN and PDCD4 – two well-known miR-21 targets,23933812,Negative regulation of lncRNA GAS5 by miR-21
LncReg_253,GAS5,lncRNA,up,PTEN,ENSG00000171862.8,protein coding,,,,,western blot,Homo sapiens,We first determined whether GAS5 has any effect on miR-21 targets and found that GAS5–siRNA suppressed both PTEN and PDCD4 – two well-known miR-21 targets,23933812,Negative regulation of lncRNA GAS5 by miR-21
LncReg_254,HOTAIR,lncRNA,up,MMP1,ENSG00000196611.4,protein coding,,,,,western blot,Homo sapiens,"As anticipated, HOTAIR silencing significantly suppressed the expression level of MMP1 and MMP3 ",23847441,Knockdown of long non-coding RNA HOTAIR suppresses tumor invasion and reverses epithelial-mesenchymal transition in gastric cancer
LncReg_255,HOTAIR,lncRNA,up,MMP3,ENSG00000149968.10,protein coding,,,,,western blot,Homo sapiens,"As anticipated, HOTAIR silencing significantly suppressed the expression level of MMP1 and MMP3 ",23847441,Knockdown of long non-coding RNA HOTAIR suppresses tumor invasion and reverses epithelial-mesenchymal transition in gastric cancer
LncReg_256,HOTAIR,lncRNA,down,E-cadherin,ENSG00000039068.17,protein coding,transcriptional regulation,,,,qPCR;western blot;IF,Homo sapiens,"We then compared the expression of phenotypic markers and found that knockdown of HOTAIR led to decreased expression of some mesenchymal markers including vimentin, and N-cadherin. Meanwhile, the expression of epithelial markers such as E-cadherin and ZO-1 were elicited in response to HOTAIR silencing, though the change of ZO-1 were not consistent between 2 cell lines ",23847441,Knockdown of long non-coding RNA HOTAIR suppresses tumor invasion and reverses epithelial-mesenchymal transition in gastric cancer
LncReg_257,HOTAIR,lncRNA,up,N-cadherin,ENSG00000170558.7,protein coding,transcriptional regulation,,,,qPCR;western blot;IF,Homo sapiens,"We then compared the expression of phenotypic markers and found that knockdown of HOTAIR led to decreased expression of some mesenchymal markers including vimentin, and N-cadherin. Meanwhile, the expression of epithelial markers such as E-cadherin and ZO-1 were elicited in response to HOTAIR silencing, though the change of ZO-1 were not consistent between 2 cell lines ",23847441,Knockdown of long non-coding RNA HOTAIR suppresses tumor invasion and reverses epithelial-mesenchymal transition in gastric cancer
LncReg_258,HOTAIR,lncRNA,up,vimentin,ENSG00000026025.12,protein coding,transcriptional regulation,,,,qPCR;western blot;IF,Homo sapiens,"We then compared the expression of phenotypic markers and found that knockdown of HOTAIR led to decreased expression of some mesenchymal markers including vimentin, and N-cadherin. Meanwhile, the expression of epithelial markers such as E-cadherin and ZO-1 were elicited in response to HOTAIR silencing, though the change of ZO-1 were not consistent between 2 cell lines ",23847441,Knockdown of long non-coding RNA HOTAIR suppresses tumor invasion and reverses epithelial-mesenchymal transition in gastric cancer
LncReg_259,HOTAIR,lncRNA,up,snail,ENSG00000124216.3,protein coding,,,,,western blot,Homo sapiens,we found HOTAIR-siRNA AGS cells expressed lower level of snail and twist compared with the control cells,23847441,Knockdown of long non-coding RNA HOTAIR suppresses tumor invasion and reverses epithelial-mesenchymal transition in gastric cancer
LncReg_26,pint,lncRNA,down,Kdr,ENSG00000128052.8,protein coding,transcriptional regulation,,,,microarray;ChIP-promoter-qPCR,Mus musculus,PINTis required for Polycomb repressive complex 2 (PRC6) targeting of specific genes for repression.,24070194,Pint lincRNA connects the p53 pathway with epigenetic silencing by the Polycomb repressive complex 2
LncReg_260,HOTAIR,lncRNA,up,twist,ENSG00000122691.11,protein coding,,,,,western blot,Homo sapiens,we found HOTAIR-siRNA AGS cells expressed lower level of snail and twist compared with the control cells,23847441,Knockdown of long non-coding RNA HOTAIR suppresses tumor invasion and reverses epithelial-mesenchymal transition in gastric cancer
LncReg_261,BM742401,lncRNA,down,MMP9,ENSG00000100985.7,protein coding,,,,,western blot;zymography assay,Homo sapiens,Ectopic overexpression of BM742401 inhibited metastasis-related phenotypes and decreased the concentration of extracellular MMP9.,23846333,"A known expressed sequence tag, BM742401, is a potent lincRNA inhibiting cancer metastasis"
LncReg_262,ANRIL,lncRNA,up,ADIPOR1,ENSG00000159346.11,protein coding,transcriptional regulation,,,,microarry;qPCR;western blot,Homo sapiens,"By genome-wide expression profiling using Affymetrix HG1.0 ST Arrays, we identified the transcription of ADIPOR1, VAMP3 and C11ORF10 to be correlated with decreased ANRIL expression in a time-dependent manner. We validated these findings on a transcriptional and translational level in different cell types.",23813974,"The large non-coding RNA ANRIL, which is associated with atherosclerosis, periodontitis and several forms of cancer, regulates ADIPOR1, VAMP3 and C11ORF10"
LncReg_263,ANRIL,lncRNA,up,C11ORF10,ENSG00000134825.12,protein coding,transcriptional regulation,,,,microarry;qPCR;western blot,Homo sapiens,"By genome-wide expression profiling using Affymetrix HG1.0 ST Arrays, we identified the transcription of ADIPOR1, VAMP3 and C11ORF10 to be correlated with decreased ANRIL expression in a time-dependent manner. We validated these findings on a transcriptional and translational level in different cell types.",23813974,"The large non-coding RNA ANRIL, which is associated with atherosclerosis, periodontitis and several forms of cancer, regulates ADIPOR1, VAMP3 and C11ORF11"
LncReg_264,ANRIL,lncRNA,up,VAMP3,ENSG00000049245.11,protein coding,transcriptional regulation,,,,microarry;qPCR;western blot,Homo sapiens,"By genome-wide expression profiling using Affymetrix HG1.0 ST Arrays, we identified the transcription of ADIPOR1, VAMP3 and C11ORF10 to be correlated with decreased ANRIL expression in a time-dependent manner. We validated these findings on a transcriptional and translational level in different cell types.",23813974,"The large non-coding RNA ANRIL, which is associated with atherosclerosis, periodontitis and several forms of cancer, regulates ADIPOR1, VAMP3 and C11ORF12"
LncReg_265,CCAT2,lncRNA,up,c-myc,ENSG00000136997.13,protein coding,transcriptional regulation,TCF7C2,,"We demonstrate thatMYC, miR–17–5p, and miR–20a are up-regulated byCCAT2through TCF7L2-mediated transcriptional regulation. ",qPCR;western blot;ChIP;RIP,Homo sapiens,"We demonstrate thatMYC, miR–17–5p, and miR–20a are up-regulated byCCAT2through TCF7L2-mediated transcriptional regulation. ",23796952,"CCAT2, a novel noncoding RNA mapping to 8q24, underlies metastatic progression and chromosomal instability in colon cancer"
LncReg_268,CCAT2,lncRNA,up,vimentin,ENSG00000026025.12,protein coding,transcriptional regulation,,,,qPCR,Homo sapiens,CCAT2 increases the mRNA expression levels ofCD44andVIMin HCT116 clones.,23796952,"CCAT2, a novel noncoding RNA mapping to 8q24, underlies metastatic progression and chromosomal instability in colon cancer"
LncReg_269,CCAT2,lncRNA,up,CD44,ENSG00000026508.15,protein coding,transcriptional regulation,,,,qPCR,Homo sapiens,CCAT2 increases the mRNA expression levels ofCD44andVIMin HCT116 clones.,23796952,"CCAT2, a novel noncoding RNA mapping to 8q24, underlies metastatic progression and chromosomal instability in colon cancer"
LncReg_27,pint,lncRNA,down,Grp84,ENSG00000139572.3,protein coding,transcriptional regulation,,,,microarray;ChIP-promoter-qPCR,Mus musculus,PINTis required for Polycomb repressive complex 2 (PRC7) targeting of specific genes for repression.,24070194,Pint lincRNA connects the p53 pathway with epigenetic silencing by the Polycomb repressive complex 2
LncReg_270,PU.1-AS,lncRNA,down,PU.1,ENSG00000066336.10,protein coding,translational regulation,,,,RNA protection assay;qPCR;western blot,Mus musculus ,We further discover that PU.1 AS lncRNA binds to its mRNA forming an mRNA/AS lncRNA compound. The knockdown of PU.1 AS by siRNA inhibits adipogenesis and promotes PU.1 protein expression in both preadipocytes and adipocytes.,23749759,Knockdown of PU.1 AS lncRNA inhibits adipogenesis through enhancing PU.1 mRNA translation
LncReg_271,PU.1-AS,lncRNA,up,PPAR?,ENSG00000132170.18,protein coding,transcriptional regulation,,,,qPCR;western blot,Mus musculus ,"PU.1 AS lncRNA siRNAsignificantly represses its level, resulting in increase of PU.1 mRNA level in both preadipocytes and adipocytes (Fig. 5D). PU.1 protein level is increased (Fig. 5E) owing to the increase of single strand PU.1 mRNA and the decrease of RNA?RNA duplex, leading to inhibiting preadipocyte differentiation through downregulation of PPARgand C/EBPaexpression level.",23749759,Knockdown of PU.1 AS lncRNA inhibits adipogenesis through enhancing PU.1 mRNA translation
LncReg_272,PU.1-AS,lncRNA,up,C/EBP?,ENSG00000245848.2,protein coding,transcriptional regulation,,,,qPCR;western blot,Mus musculus ,"PU.1 AS lncRNA siRNAsignificantly represses its level, resulting in increase of PU.1 mRNA level in both preadipocytes and adipocytes (Fig. 5D). PU.1 protein level is increased (Fig. 5E) owing to the increase of single strand PU.1 mRNA and the decrease of RNA?RNA duplex, leading to inhibiting preadipocyte differentiation through downregulation of PPARgand C/EBPaexpression level.",23749759,Knockdown of PU.1 AS lncRNA inhibits adipogenesis through enhancing PU.1 mRNA translation
LncReg_273,PU.1-AS,lncRNA,up,adiponectin,ENSG00000181092.8,protein coding,,,,,western blot,Mus musculus ,KNOCKDOWN OF PU.1 AS lncRNA DECREASES EXPRESSION AND SECRETION OF ADIPONECTIN,23749759,Knockdown of PU.1 AS lncRNA inhibits adipogenesis through enhancing PU.1 mRNA translation
LncReg_274,AK126698,lncRNA,up,NKD2,ENSG00000145506.12,protein coding,transcriptional regulation,,,,qPCR,Homo sapiens,Transfection the siRNA AK126698-424 and siRNA AK126698-291 in A549 cells resulted in the decrease of NKD2 mRNA expression which is a negative regulator of Wnt signaling pathway.,23741487,The noncoding RNA expression profile and the effect of lncRNA AK126698 on cisplatin resistance in non-small-cell lung cancer cell
LncReg_275,AK126698,lncRNA,down,?-catenin,ENSG00000178585.13,protein coding,,,,,western blot,Homo sapiens,"Meanwhile, the key transcription factor in canonical Wnt pathway b-catenin was also increased in protein level after AK126698 knockdown.",23741487,The noncoding RNA expression profile and the effect of lncRNA AK126698 on cisplatin resistance in non-small-cell lung cancer cell
LncReg_276,linc-HOXA1,lncRNA,down,HoxA1,ENSG00000105991.7,protein coding,transcriptional regulation,PURB,,We further showed thatlinc-HOXA1RNA repressesHoxa1by recruiting the protein PURB as a transcriptional cofactor.,qPCR;RNA pull-down,Mus musculus ,Knockdown analysis revealed that depletion oflinc-HOXA1RNA at its site of transcription increased transcription of theHoxa1genecisto the chromosome and that exposure of cells to retinoic acid can disrupt this interaction. ,23723417,linc-HOXA1 is a noncoding RNA that represses Hoxa1 transcription in cis
LncReg_277,MALAT1,lncRNA,down,E-cadherin,ENSG00000039068.17,protein coding,transcriptional regulation,,,,qPCR;western blot,Homo sapiens,"Overexpression of MALAT1by RNAa suppressed the expression of E-cadherin, promoted the expression of vimentin and enhanced the proliferation, invasion, and metastasis of CNE-1cells.",23688988,Expression of long noncoding RNA MALAT1 gene in human nasopharyngeal carcinoma cell lines and its biological significance
LncReg_278,MALAT1,lncRNA,up,vimentin,ENSG00000026025.12,protein coding,transcriptional regulation,,,,qPCR;western blot,Homo sapiens,"Overexpression of MALAT1by RNAa suppressed the expression of E-cadherin, promoted the expression of vimentin and enhanced the proliferation, invasion, and metastasis of CNE-1cells.",23688988,Expression of long noncoding RNA MALAT1 gene in human nasopharyngeal carcinoma cell lines and its biological significance
LncReg_279,MALAT1,lncRNA,up,slug,ENSG00000019549.7,protein coding,transcriptional regulation,,,,qPCR;western blot,Homo sapiens,"Overexpression of MALAT1by RNAa suppressed the expression of E-cadherin, promoted the expression of vimentin and enhanced the proliferation, invasion, and metastasis of CNE-1cells.",23688988,Expression of long noncoding RNA MALAT1 gene in human nasopharyngeal carcinoma cell lines and its biological significance
LncReg_28,pint,lncRNA,down,Elovl3,ENSG00000119915.4,protein coding,transcriptional regulation,,,,microarray;ChIP-promoter-qPCR,Mus musculus,PINTis required for Polycomb repressive complex 2 (PRC8) targeting of specific genes for repression.,24070194,Pint lincRNA connects the p53 pathway with epigenetic silencing by the Polycomb repressive complex 2
LncReg_280,MALAT1,lncRNA,up,snail,ENSG00000124216.3,protein coding,transcriptional regulation,,,,qPCR;western blot,Homo sapiens,"Overexpression of MALAT1by RNAa suppressed the expression of E-cadherin, promoted the expression of vimentin and enhanced the proliferation, invasion, and metastasis of CNE-1cells.",23688988,Expression of long noncoding RNA MALAT1 gene in human nasopharyngeal carcinoma cell lines and its biological significance
LncReg_281,HOXA-AS2,lncRNA,Inactive,CASP3,ENSG00000164305.16,protein coding,post-translational regulation,,,,activity assay;western blot,Homo sapiens,"Knockdown of HOXA-AS2 expression by transduced shRNA decreases the number of viable cells and increases the proportion of apoptotic cells, measured by annexin V binding and by activity and cleavage of caspases-3, -8,and -9. ",23649634,HOX antisense lincRNA HOXA-AS2 is an apoptosis repressor in all trans retinoic acid treated NB4 promyelocytic leukemia cells
LncReg_282,HOXA-AS2,lncRNA,Inactive,CASP8,ENSG00000064012.20,protein coding,,,,,activity assay;western blot,Homo sapiens,"Knockdown of HOXA-AS2 expression by transduced shRNA decreases the number of viable cells and increases the proportion of apoptotic cells, measured by annexin V binding and by activity and cleavage of caspases-3, -8,and -9. ",23649634,HOX antisense lincRNA HOXA-AS2 is an apoptosis repressor in all trans retinoic acid treated NB4 promyelocytic leukemia cells
LncReg_283,HOXA-AS2,lncRNA,Inactive,CASP9,ENSG00000132906.16,protein coding,,,,,activity assay;western blot,Homo sapiens,"Knockdown of HOXA-AS2 expression by transduced shRNA decreases the number of viable cells and increases the proportion of apoptotic cells, measured by annexin V binding and by activity and cleavage of caspases-3, -8,and -9. ",23649634,HOX antisense lincRNA HOXA-AS2 is an apoptosis repressor in all trans retinoic acid treated NB4 promyelocytic leukemia cells
LncReg_284,HOXA-AS2,lncRNA,down,TRAIL,ENSG00000121858.9,protein coding,transcriptional regulation,,,,qPCR;western blot,Homo sapiens,The increase in death of HOXA-AS2 knockdown cells was accompanied by an elevated TNF-related apoptosis-inducing ligand (TRAIL) levels.,23649634,HOX antisense lincRNA HOXA-AS2 is an apoptosis repressor in all trans retinoic acid treated NB4 promyelocytic leukemia cells
LncReg_285,Llme23,lncRNA,up,Rab23,ENSG00000112210.10,protein coding,transcriptional regulation,,,,qPCR;western blot,Homo sapiens,"Knocking down Llme23 remarkably suppressed the malignant property of YUSAC cells, accompanied by the repressed expression of proto-oncogene Rab23.",23618401,The non-coding RNA llme23 drives the malignant property of human melanoma cells
LncReg_286,AK081227,lncRNA,down,Gabrr2,ENSG00000111886.10,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,"Most importantly, we were able to show that the overexpression of AK081227 mediated by the Mecp2 loss was associated with the downregulation of its host coding protein gene, the gamma-aminobutyric acid receptor subunit Rho 2 (Gabrr2).",23611944,Dysregulation of the long non-coding RNA transcriptome in a Rett syndrome mouse model
LncReg_287,Dlx1as,lncRNA,up,Dlx1,ENSG00000144355.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,Knockdown ofDlx1ascaused a decrease in expression of Dlx1and Dlx2after 2 days of differentiation compared to control.,23583100,Integration of genome-wide approaches identifies lncRNAs of adult neural stem cells and their progeny in vivo
LncReg_288,Dlx1as,lncRNA,up,Dlx2,ENSG00000115844.9,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,Knockdown ofDlx1ascaused a decrease in expression of Dlx1and Dlx2after 2 days of differentiation compared to control.,23583100,Integration of genome-wide approaches identifies lncRNAs of adult neural stem cells and their progeny in vivo
LncReg_289,LincRNA-ROR,lncRNA,up,4-Oct,ENSG00000204531.14,protein coding,translational regulation,MIR181;MIR145,,"Linc-RoR Shared Regulatory MicroRNAs with the Core TFs Oct4, Sox2,and Nanog and Prevented Them from Being Suppressed",qPCR;western blot,Homo sapiens,"Linc-RoR Regulates Oct4, Nanog, and Sox2 Expression in Self-Renewing hESCs",23541921,"Endogenous miRNA sponge lincRNA-RoR regulates Oct4, Nanog, and Sox2 in human embryonic stem cell self-renewal"
LncReg_29,pint,lncRNA,down,Tmem171,ENSG00000157111.11,protein coding,transcriptional regulation,,,,microarray;ChIP-promoter-qPCR,Mus musculus,PINTis required for Polycomb repressive complex 2 (PRC9) targeting of specific genes for repression.,24070194,Pint lincRNA connects the p53 pathway with epigenetic silencing by the Polycomb repressive complex 2
LncReg_290,LincRNA-ROR,lncRNA,up,sox2,ENSG00000181449.3,protein coding,translational regulation,MIR99;MIR145,,"Linc-RoR Shared Regulatory MicroRNAs with the Core TFs Oct4, Sox2,and Nanog and Prevented Them from Being Suppressed",qPCR;western blot,Homo sapiens,"Linc-RoR Regulates Oct4, Nanog, and Sox2 Expression in Self-Renewing hESCs",23541921,"Endogenous miRNA sponge lincRNA-RoR regulates Oct4, Nanog, and Sox2 in human embryonic stem cell self-renewal"
LncReg_291,LincRNA-ROR,lncRNA,up,nanog,ENSG00000111704.9,protein coding,translational regulation,MIR145;MIR99,,"Linc-RoR Shared Regulatory MicroRNAs with the Core TFs Oct4, Sox2,and Nanog and Prevented Them from Being Suppressed",qPCR;western blot,Homo sapiens,"Linc-RoR Regulates Oct4, Nanog, and Sox2 Expression in Self-Renewing hESCs",23541921,"Endogenous miRNA sponge lincRNA-RoR regulates Oct4, Nanog, and Sox2 in human embryonic stem cell self-renewal"
LncReg_295,lncRNA-LALR1,lncRNA,up,Cyclin D1,ENSG00000110092.3,protein coding,transcriptional regulation,?-catenin,,"This monomeric form of b-catenin binds to proteins such as T-cell factor-4 (TCF-4) and lymphoid enhancement factor (LEF) and translocates to the nucleus to control the transcription of target genes, including c-myc and cyclin D1.",qPCR;western blot,Mus musculus ,"We found that at 24, 36, and 72 hours after 2/3 PH, lncRNA-LALR1-down-regulated mice have lower expression of cyclin D1, E1, and A2, which are known to play a role in the G1to S transition of hepatocytes during regeneration.",23483581,Long noncoding RNAs associated with liver regeneration 1 accelerates hepatocyte proliferation during liver regeneration by activating Wnt/?-catenin signaling
LncReg_296,lncRNA-LALR1,lncRNA,down,Axin1,ENSG00000103126.13,protein coding,transcriptional regulation,CTCF,,"In addition, lncRNA-LALR1 inhibited the expression of Axin1 mainly by recruiting CTCF to the AXIN1promoter region.",qPCR;western blot;ChIP;RIP;RNA pull down,Mus musculus ,"There was a decrease in the protein and messenger RNA (mRNA) levels of Axin1 as a result of the overexpression of lncRNA-LALR1, and knockdown of lncRNA-LALR1 resulted in an increase in Axin1.",23483581,Long noncoding RNAs associated with liver regeneration 1 accelerates hepatocyte proliferation during liver regeneration by activating Wnt/?-catenin signaling
LncReg_297,lncRNA-LALR1,lncRNA,up,Cyclin E1,ENSG00000105173.12,protein coding,transcriptional regulation,,,,qPCR;western blot,Mus musculus ,"We found that at 24, 36, and 72 hours after 2/3 PH, lncRNA-LALR1-down-regulated mice have lower expression of cyclin D1, E1, and A2, which are known to play a role in the G1to S transition of hepatocytes during regeneration.",23483581,Long noncoding RNAs associated with liver regeneration 1 accelerates hepatocyte proliferation during liver regeneration by activating Wnt/?-catenin signaling
LncReg_298,lncRNA-LALR1,lncRNA,up,Cyclin A2,ENSG00000145386.8,protein coding,transcriptional regulation,,,,qPCR;western blot,Mus musculus ,"We found that at 24, 36, and 72 hours after 2/3 PH, lncRNA-LALR1-down-regulated mice have lower expression of cyclin D1, E1, and A2, which are known to play a role in the G1to S transition of hepatocytes during regeneration.",23483581,Long noncoding RNAs associated with liver regeneration 1 accelerates hepatocyte proliferation during liver regeneration by activating Wnt/?-catenin signaling
LncReg_299,lncRNA-LALR1,lncRNA,Active,?-catenin,ENSG00000178585.13,protein coding,post-translational regulation,Axin1,,"LncRNA-LALR1 decreased the expression of Axin1, and the stability of theb-catenin destruction complex receded, which led to the decline in the levels of phosphorylatedb-catenin (inactive); active b-catenin could no longer stay bound and was released.",western blot;IF,Mus musculus ,Our results also showed that overexpression of lncRNA-LALR1 resulted in a decrease in the level of phosphorylated b-catenin protein (inactive) and that the level of nonphosphorylated b-catenin protein (active) increased,23483581,Long noncoding RNAs associated with liver regeneration 1 accelerates hepatocyte proliferation during liver regeneration by activating Wnt/?-catenin signaling
LncReg_3,lincRNA-p21,lncRNA,down,hus1,ENSG00000136273.10,protein coding,transcriptional regulation,hnRNPK,RNA binding protein,,microarray;ChIP-promoter-qPCR,Mus musculus ,The observed transcriptional repression by lincRNA-p21 is mediated through the physical association with hnRNP-K. This interaction is required for proper genomic localization of hnRNPK at repressed genes and regulation of p53 mediates apoptosis.,20673990,A large intergenic noncoding RNA induced by p53 mediates global gene repression in the p53 response
LncReg_30,LUNAR1,lncRNA,up,IGF1R,ENSG00000140443.12,protein coding,transcriptional regulation,,,,qPCR,Homo sapiens,"Finally we have shown that one specific Notch-regulated lncRNA,LUNAR1, is required for efficient T-ALL growth in vitro and in vivo due to its ability to enhance IGF1R mRNA expression and sustain IGF1 signaling.",25083870,Genome-wide mapping and characterization of notch-regulated long noncoding RNAs in acute leukemia
LncReg_300,lncRNA-LALR1,lncRNA,up,c-myc,ENSG00000136997.13,protein coding,transcriptional regulation,?-catenin,,"This monomeric form of b-catenin binds to proteins such as T-cell factor-4 (TCF-4) and lymphoid enhancement factor (LEF) and translocates to the nucleus to control the transcription of target genes, including c-myc and cyclin D1.",western blot,Mus musculus ,The expression of c-myc and cyclin D1 increased with the overexpression of lncRNA-LALR1 and declined after knockdown of lncRNA-LALR1,23483581,Long noncoding RNAs associated with liver regeneration 1 accelerates hepatocyte proliferation during liver regeneration by activating Wnt/?-catenin signaling
LncReg_301,ANCR,lncRNA,down,Runx2,ENSG00000124813.19,protein coding,transcriptional regulation,EZH2,,We further demonstrated that ANCR is associated with enhancer of zeste homolog 2 (EZH2) and that this association results in the inhibition of both Runx2 expression and subsequent osteoblast differentiation.,qPCR;RNA pull-down;RIP,Homo sapiens,ANCR is associated with enhancer of zeste homolog 2 (EZH2) and that this association results in the inhibition of both Runx2 expression and subsequent osteoblast differentiation. ,23438432,Downregulated LncRNA-ANCR promotes osteoblast differentiation by targeting EZH2 and regulating Runx2 expression
LncReg_302,ANCR,lncRNA,down,ALP,ENSG00000162551.12,protein coding,transcriptional regulation,EZH2,,ANCR regulates osteoblast differentiation by associating with EZH2.,qPCR,Homo sapiens,ANCR is associated with enhancer of zeste homolog 2 (EZH2) and that this association results in the inhibition of both Runx2 expression and subsequent osteoblast differentiation. ,23438432,Downregulated LncRNA-ANCR promotes osteoblast differentiation by targeting EZH2 and regulating Runx2 expression
LncReg_303,ANCR,lncRNA,down,osteocalcin,ENSG00000242252.1,protein coding,transcriptional regulation,EZH2,,ANCR regulates osteoblast differentiation by associating with EZH2.,qPCR,Homo sapiens,ANCR is associated with enhancer of zeste homolog 2 (EZH2) and that this association results in the inhibition of both Runx2 expression and subsequent osteoblast differentiation. ,23438432,Downregulated LncRNA-ANCR promotes osteoblast differentiation by targeting EZH2 and regulating Runx2 expression
LncReg_304,PTENpg1-asRNA-?,lncRNA,down,PTEN,ENSG00000171862.8,protein coding,transcriptional regulation,DNMT3a;EZH2,,"The alpha isoform functions in trans,localizes to the PTENpromoter, and epigenetically modulates PTEN transcription by the recruitment of DNMT3a and EZH2",,Homo sapiens,"PTEN transcription is suppressed by the PTENpg1 asRNA ?and unspliced isoforms, which act in trans by recruiting the chromatin repressor proteins EZH2 and DNMT3a to the PTEN promoter.",23435381,A pseudogene long-noncoding-RNA network regulates PTEN transcription and translation in human cells
LncReg_305,PTENpg1-asRNA-?,lncRNA,up,PTEN,ENSG00000171862.8,protein coding,translational regulation,PTENpg1,,The PTENpg1 sense lacks a poly(A) tail and the stability and export of PTENpg1sense to the cytoplasm is facilitated by the interaction with the spliced PTENpg1asRNA ? transcripts. Such interactions lead to an increase of PTENpg1 sense sponge activity and thus increased PTENmRNA stability and translation.,qPCR;western blot;ChIP-promoter-qPCR;RIP,Homo sapiens,The PTENpg1 sense lacks a poly(A) tail and the stability and export of PTENpg1sense to the cytoplasm is facilitated by the interaction with the spliced PTENpg1asRNA ? transcripts. Such interactions lead to an increase of PTENpg1 sense sponge activity and thus increased PTENmRNA stability and translation.,23435381,A pseudogene long-noncoding-RNA network regulates PTEN transcription and translation in human cells
LncReg_306,PTENpg1-asRNA-?,lncRNA,up,PTENpg1,ENSG00000237984.3,lncRNA,post-transcriptional regulation,,,,qPCR;stability analysis,Homo sapiens,The PTENpg1 sense lacks a poly(A) tail and the stability and export of PTENpg1sense to the cytoplasm is facilitated by the interaction with the spliced PTENpg1asRNA ? transcripts. ,23435381,A pseudogene long-noncoding-RNA network regulates PTEN transcription and translation in human cells
LncReg_307,NEAT1,lncRNA,down,HIV-1,NA,protein coding,post-transcriptional regulation,,,,qPCR;western blot,Homo sapiens,We report here that the knockdown of NEAT1 enhances virus production through increased nucleus-to-cytoplasm export of Rev-dependent instability element (INS)-containing HIV-1 mRNAs.,23362321,NEAT1 long noncoding RNA and paraspeckle bodies modulate HIV-1 posttranscriptional expression
LncReg_308,MEG3,lncRNA,down,LC3-?,ENSG00000101460.11,protein coding,post-translational regulation,,,,western blot;IF,Homo sapiens,"MEG3 overexpression resulted in a decrease in the ratio of LC3-II/LC3-I, whereas lncRNA control (AK055007) did not regulate autophagy activation in T24 cells. ",23295831,Downregulated MEG3 activates autophagy and increases cell proliferation in bladder cancer
LncReg_309,MALAT1,lncRNA,down,MIA2,ENSG00000150526.10,protein coding,transcriptional regulation,,,,microarray;qPCR,Homo sapiens,We were able to validate the differential expression of all 23 of these metastasis-associated target genes via qRT-PCR.,23243023,The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells
LncReg_31,TSLC1-AS1,lncRNA,up,TSLC1,ENSG00000182985.15,protein coding,,,,,qPCR,Homo sapiens,TSLC1 expression was co-regulated together with the TSLC1-AS1 overexpression or knockdown in glioma cell lines.,25031725,LncRNA TSLC1-AS1 is a novel tumor suppressor in glioma
LncReg_310,MALAT1,lncRNA,down,HNF4G,ENSG00000164749.10,protein coding,transcriptional regulation,,,,microarray;qPCR,Homo sapiens,We were able to validate the differential expression of all 23 of these metastasis-associated target genes via qRT-PCR.,23243023,The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells
LncReg_311,MALAT1,lncRNA,down,CA2,ENSG00000104267.8,protein coding,transcriptional regulation,,,,microarray;qPCR,Homo sapiens,We were able to validate the differential expression of all 23 of these metastasis-associated target genes via qRT-PCR.,23243023,The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells
LncReg_312,MALAT1,lncRNA,down,RASSF6,ENSG00000169435.12,protein coding,transcriptional regulation,,,,microarray;qPCR,Homo sapiens,We were able to validate the differential expression of all 23 of these metastasis-associated target genes via qRT-PCR.,23243023,The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells
